Měsíc,Platba,Plátce,Příjemce,Částka (Kč),Důvod platby,Zdroj
2015-02,2015-03-09,Praha,Mikuláš Ferjenčík,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-09,Praha,Mikuláš Ferjenčík,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-09,Praha,Ondřej Profant,4192,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-09,Praha,Ondřej Profant,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-09,Praha,Ondřej Profant,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-09,Praha,Adam Zábranský,3665,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-09,Praha,Adam Zábranský,766,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-09,Praha,Adam Zábranský,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-05-14,Praha,Jakub Michálek,15300,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/jakub/vycetka_signed.pdf?raw=true
2015-02,2015-05-14,Praha,Mikuláš Ferjenčík,10035,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/miki/vycetka-unor.docx?raw=true
2015-02,2015-05-14,Praha,Ondřej Profant,18000,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/ondra/vycetka.docx?raw=true
2015-02,2015-05-14,Praha,Adam Zábranský,14648,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/adam/vycetka.odt?raw=true
2015-02,2015-03-20,Pirati,Jakub Michálek,8500,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-20,Pirati,Jakub Michálek,4000,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-20,Pirati,Mikuláš Ferjenčík,4769,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-20,Pirati,Mikuláš Ferjenčík,300,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-20,Pirati,Ondřej Profant,8500,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-20,Pirati,Ondřej Profant,1000,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-20,Pirati,Adam Zábranský,8500,pevná část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-02,2015-03-20,Pirati,Adam Zábranský,1000,proměnlivá část odměny z mandátní smlouvy,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/02/2015-02.ods?raw=true
2015-03,2015-04-09,Praha,Jakub Michálek,4192,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Jakub Michálek,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Jakub Michálek,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Mikuláš Ferjenčík,4192,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Mikuláš Ferjenčík,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Mikuláš Ferjenčík,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Ondřej Profant,4192,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Ondřej Profant,239,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Ondřej Profant,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Adam Zábranský,3665,paušální odměna,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Adam Zábranský,766,zdravotní pojištění z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-04-09,Praha,Adam Zábranský,870,záloha na daň z paušální odměny,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/2015-03.ods?raw=true
2015-03,2015-05-14,Praha,Mikuláš Ferjenčík,6980,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/Miki/vycetka-brezen.docx?raw=true
2015-03,2015-05-14,Praha,Ondřej Profant,18000,náhrada výdělku,https://github.com/pirati-cz/KlubPraha/blob/master/odmeny/2015/03/Ondra/vycetka.docx?raw=true
