IČO,Název,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total Result,kolikrát dostali dotaci
26570076,BLK Slavia Praha,,,,,,,,,,,,,3 000 000,800 000,3 800 000,2
71201181,Tělocvičná jednota Sokol Řeporyje,,,,,,,,,,0,,,,3 800 000,3 800 000,1
26541262,Veslařský klub Smíchov,1 200 000,,,,,,,,,,,,2 500 000,,3 700 000,2
538388,Český tenisový svaz o.s.,,,,,,,,,,,,,,3 500 000,3 500 000,1
62941241,"FK Klánovice, o.s.",,,,,,,,,,,1 000 000,1 000 000,1 500 000,,3 500 000,3
70833907,DTJ Jinonice,,,,,,3 000 000,,,,,,,,500 000,3 500 000,2
22888195,AFK SLAVIA MALEŠICE,,,,,,,,,,,,700 000,,2 650 000,3 350 000,2
550574,SK Ďáblice z.s.,,,,,,,0,0,0,,1 000 000,1 400 000,420 000,400 000,3 220 000,4
674346,"ČESKÁ OBEC SOKOLSKÁ, TĚLOCVIČNÁ JEDNOTA SOKOL RADOTÍN",,,,,1 000 000,,,,,0,1 000 000,,,1 200 000,3 200 000,3
569496,TČlocvičná jednota Sokol Vysočany,,,,1 900 000,0,,,,,940 000,,300 000,,,3 140 000,3
26670828,Beachclub Strahov,,,,,,,,200 000,400 000,,,,2 500 000,,3 100 000,3
68405685,"Tělocvičná jednota Sokol
Žižkov I",,,,,,,,,1 300 000,0,230 000,,300 000,1 250 000,3 080 000,4
551066,"Tělocvičná jednota Sokol
Praha VII",,,,,,,,800 000,450 000,600 000,,,,1 200 000,3 050 000,4
26537443,SK Horní Měcholupy,,,,,0,,3 000 000,,,,,,,,3 000 000,1
40763421,Tělovýchovná jednota JUNIOR PRAHA,500 000,2 000 000,,,,,,0,,,500 000,,,,3 000 000,3
70827095,"Sdružení fotbalového klubu AC SPARTA PRAHA, zapsaný spolek",,,,,,,,,,,,,,2 950 000,2 950 000,1
15270351,FSC Libuš,0,,,,1 000 000,,1 400 000,0,500 000,0,,,,,2 900 000,3
